key,answer_A_label,answer_B_label,winner,winner_raw,model
7f431680f1ef96f470e5bfd2248d350c29819966,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
e1796e2d2b2daa43fc1d6e38c470468e5d79433d,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
a8058c0979e0f9e249eb54024fe5eb6798bfd170,stage1_factual,stage3_full_on_stage1,stage1_factual,A,gpt-4o-mini
111bc8d95747fba5c59c8a2f39bd13ef0d78e437,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
e5d602723d839aaf188afa1d7ed2a7522dd7838a,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
b05f96aef4416c7e7c2d028abce165e3e185a0cb,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
cf7ebab16d067558cf7d01f72ea6bed0bbd04dcb,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
6f0bee7230081c4ab1bfd826c7d591f4b13469f9,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
2ea5a1e267d68807c71ecb63a63604c2ccfebf11,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
6e1949c62813e19f8bbd937ce4874b0a1c642dfa,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
373563d6df1bcfa47ff95c3065ba0f3ed9c80584,stage3_full_on_stage1,stage1_factual,TIE,TIE,gpt-4o-mini
195993e9114a7f43450f606868224d7a398e8dba,stage3_full_on_stage1,stage1_factual,TIE,TIE,gpt-4o-mini
e0d9f3715fa782a8789008525255ef742c0d4864,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
a1f5b990f81ac85e9506c12a352ef7aee3028196,stage3_full_on_stage1,stage1_factual,stage3_full_on_stage1,A,gpt-4o-mini
32a2a40307a35e2fc05cf97edf74b52c2e0213c4,stage1_factual,stage3_full_on_stage1,TIE,TIE,gpt-4o-mini
e3f3d25e0604af192155ce6cefd162be77c72ebb,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
d7c5ee310214ac01c33a7d47618f832a40a7a012,stage1_factual,stage3_full_on_stage1,stage3_full_on_stage1,B,gpt-4o-mini
cdcbde97532a98f1f5ced1526e9c55cd07d6c195,stage3_full_on_stage1,stage1_factual,stage1_factual,B,gpt-4o-mini
